id,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,footprintWKT,scientificName,vernacularName
945_962,8/12/03,41.466667,-71.266667,EPSG:4326 WGS84,POINT(-71.266667 41.466667),Testudines,Turtles
945_909,7/27/11,41.242053,-72.760593,EPSG:4326 WGS84,POINT(-72.760593 41.242053),Testudines,Turtles
945_1096,8/9/03,41.1816,-71.575,EPSG:4326 WGS84,POINT(-71.575 41.1816),Testudines,Turtles
945_1115,8/9/08,41.3201,-71.8141,EPSG:4326 WGS84,POINT(-71.8141 41.3201),Testudines,Turtles
945_1129,7/16/11,41.37608,-71.51764,EPSG:4326 WGS84,POINT(-71.51764 41.37608),Caretta caretta,Loggerhead
945_919,9/27/07,41.3,-72.116667,EPSG:4326 WGS84,POINT(-72.116667 41.3),Caretta caretta,Loggerhead
945_1108,8/27/07,41.345278,-72.025833,EPSG:4326 WGS84,POINT(-72.025833 41.345278),Caretta caretta,Loggerhead
945_1107,7/26/07,41.322222,-71.813889,EPSG:4326 WGS84,POINT(-71.813889 41.322222),Caretta caretta,Loggerhead
945_890,7/12/99,41.057222,-73.432778,EPSG:4326 WGS84,POINT(-73.432778 41.057222),Caretta caretta,Loggerhead
945_944,9/14/97,41.483333,-71.235833,EPSG:4326 WGS84,POINT(-71.235833 41.483333),Caretta caretta,Loggerhead
945_898,9/9/00,41.2625,-72.341667,EPSG:4326 WGS84,POINT(-72.341667 41.2625),Caretta caretta,Loggerhead
945_899,9/12/01,41.273611,-72.488889,EPSG:4326 WGS84,POINT(-72.488889 41.273611),Caretta caretta,Loggerhead
945_1097,9/9/03,41.177778,-71.558333,EPSG:4326 WGS84,POINT(-71.558333 41.177778),Caretta caretta,Loggerhead
945_951,11/1/99,41.451111,-71.3025,EPSG:4326 WGS84,POINT(-71.3025 41.451111),Caretta caretta,Loggerhead
945_900,10/7/05,41.31361,-72.351667,EPSG:4326 WGS84,POINT(-72.351667 41.31361),Caretta caretta,Loggerhead
945_978,6/30/08,41.486389,-71.449722,EPSG:4326 WGS84,POINT(-71.449722 41.486389),Caretta caretta,Loggerhead
945_1119,8/12/10,41.3015,-71.8882,EPSG:4326 WGS84,POINT(-71.8882 41.3015),Caretta caretta,Loggerhead
945_1113,7/17/08,41.374722,-71.549167,EPSG:4326 WGS84,POINT(-71.549167 41.374722),Caretta caretta,Loggerhead
945_972,7/31/07,41.4625,-71.195833,EPSG:4326 WGS84,POINT(-71.195833 41.4625),Caretta caretta,Loggerhead
945_1140,9/12/11,41.197498,-71.563428,EPSG:4326 WGS84,POINT(-71.563428 41.197498),Caretta caretta,Loggerhead
945_960,8/4/03,41.491667,-71.266944,EPSG:4326 WGS84,POINT(-71.266944 41.491667),Caretta caretta,Loggerhead
945_893,9/23/05,41.001666,-73.566667,EPSG:4326 WGS84,POINT(-73.566667 41.001666),Caretta caretta,Loggerhead
945_888,8/1/94,41.043889,-73.501667,EPSG:4326 WGS84,POINT(-73.501667 41.043889),Caretta caretta,Loggerhead
945_981,7/14/08,41.662778,-71.468889,EPSG:4326 WGS84,POINT(-71.468889 41.662778),Caretta caretta,Loggerhead
945_886,8/1/09,41.68,-71.282,EPSG:4326 WGS84,POINT(-71.282 41.68),Caretta caretta,Loggerhead
945_906,8/3/07,41.254167,-72.754167,EPSG:4326 WGS84,POINT(-72.754167 41.254167),Caretta caretta,Loggerhead
945_970,9/6/06,41.565556,-71.37,EPSG:4326 WGS84,POINT(-71.37 41.565556),Caretta caretta,Loggerhead
945_1091,9/1/01,41.635278,-71.412778,EPSG:4326 WGS84,POINT(-71.412778 41.635278),Caretta caretta,Loggerhead
945_995,7/22/11,41.544762,-71.386081,EPSG:4326 WGS84,POINT(-71.386081 41.544762),Caretta caretta,Loggerhead
945_1106,7/24/07,41.463889,-71.363333,EPSG:4326 WGS84,POINT(-71.363333 41.463889),Caretta caretta,Loggerhead
945_1084,8/1/00,41.442222,-71.459167,EPSG:4326 WGS84,POINT(-71.459167 41.442222),Caretta caretta,Loggerhead
945_1010,7/13/91,41.318333,-71.769167,EPSG:4326 WGS84,POINT(-71.769167 41.318333),Caretta caretta,Loggerhead
945_1122,8/20/10,41.319519,-71.818278,EPSG:4326 WGS84,POINT(-71.818278 41.319519),Caretta caretta,Loggerhead
945_1135,8/10/11,41.3857,-71.4754,EPSG:4326 WGS84,POINT(-71.4754 41.3857),Caretta caretta,Loggerhead
945_1073,9/12/97,41.386944,-71.473889,EPSG:4326 WGS84,POINT(-71.473889 41.386944),Caretta caretta,Loggerhead
945_901,8/29/92,41.183333,-73.085,EPSG:4326 WGS84,POINT(-73.085 41.183333),Caretta caretta,Loggerhead
945_1072,8/29/97,41.373056,-71.483333,EPSG:4326 WGS84,POINT(-71.483333 41.373056),Caretta caretta,Loggerhead
945_902,9/7/96,41.189722,-73.085833,EPSG:4326 WGS84,POINT(-73.085833 41.189722),Caretta caretta,Loggerhead
945_1103,9/19/05,41.364722,-71.489722,EPSG:4326 WGS84,POINT(-71.489722 41.364722),Caretta caretta,Loggerhead
945_993,8/16/10,41.48653,-71.38556,EPSG:4326 WGS84,POINT(-71.38556 41.48653),Caretta caretta,Loggerhead
945_895,8/19/11,41.054809,-73.437853,EPSG:4326 WGS84,POINT(-73.437853 41.054809),Caretta caretta,Loggerhead
945_1132,8/3/11,41.199077,-71.59297,EPSG:4326 WGS84,POINT(-71.59297 41.199077),Caretta caretta,Loggerhead
945_940,11/18/95,41.650556,-71.217778,EPSG:4326 WGS84,POINT(-71.217778 41.650556),Caretta caretta,Loggerhead
945_918,7/13/06,41.359444,-72.096389,EPSG:4326 WGS84,POINT(-72.096389 41.359444),Caretta caretta,Loggerhead
945_1118,7/22/10,41.32,-71.78,EPSG:4326 WGS84,POINT(-71.78 41.32),Caretta caretta,Loggerhead
945_971,7/14/07,41.4875,-71.291667,EPSG:4326 WGS84,POINT(-71.291667 41.4875),Caretta caretta,Loggerhead
945_896,8/9/02,41.683611,-71.3975,EPSG:4326 WGS84,POINT(-71.3975 41.683611),Caretta caretta,Loggerhead
945_979,7/2/08,41.488361,-71.283108,EPSG:4326 WGS84,POINT(-71.283108 41.488361),Caretta caretta,Loggerhead
945_958,7/27/02,41.721944,-71.240278,EPSG:4326 WGS84,POINT(-71.240278 41.721944),Caretta caretta,Loggerhead
945_955,7/17/00,41.451944,-71.167778,EPSG:4326 WGS84,POINT(-71.167778 41.451944),Caretta caretta,Loggerhead
945_968,9/5/05,41.57677,-71.23601,EPSG:4326 WGS84,POINT(-71.23601 41.57677),Caretta caretta,Loggerhead
945_1051,9/6/95,41.316944,-71.830833,EPSG:4326 WGS84,POINT(-71.830833 41.316944),Caretta caretta,Loggerhead
945_984,7/28/08,41.516389,-71.488056,EPSG:4326 WGS84,POINT(-71.488056 41.516389),Caretta caretta,Loggerhead
945_1075,9/17/98,41.148611,-71.580556,EPSG:4326 WGS84,POINT(-71.580556 41.148611),Caretta caretta,Loggerhead
945_897,9/27/07,41.730278,-71.4575,EPSG:4326 WGS84,POINT(-71.4575 41.730278),Caretta caretta,Loggerhead
945_892,8/29/03,41.134444,-73.248333,EPSG:4326 WGS84,POINT(-73.248333 41.134444),Caretta caretta,Loggerhead
945_1130,7/25/11,41.198693,-71.593008,EPSG:4326 WGS84,POINT(-71.593008 41.198693),Caretta caretta,Loggerhead
945_1101,7/23/04,41.328056,-71.858333,EPSG:4326 WGS84,POINT(-71.858333 41.328056),Caretta caretta,Loggerhead
945_967,8/12/05,41.514167,-71.232778,EPSG:4326 WGS84,POINT(-71.232778 41.514167),Caretta caretta,Loggerhead
945_894,9/4/10,41.101748,-73.376283,EPSG:4326 WGS84,POINT(-73.376283 41.101748),Caretta caretta,Loggerhead
945_908,9/9/10,41.245309,-72.869973,EPSG:4326 WGS84,POINT(-72.869973 41.245309),Caretta caretta,Loggerhead
945_933,7/22/94,41.451667,-71.311667,EPSG:4326 WGS84,POINT(-71.311667 41.451667),Caretta caretta,Loggerhead
945_1083,7/17/00,41.434167,-71.416667,EPSG:4326 WGS84,POINT(-71.416667 41.434167),Caretta caretta,Loggerhead
945_1080,9/21/99,41.368889,-71.516667,EPSG:4326 WGS84,POINT(-71.516667 41.368889),Caretta caretta,Loggerhead
945_966,8/9/05,41.463889,-71.363333,EPSG:4326 WGS84,POINT(-71.363333 41.463889),Caretta caretta,Loggerhead
945_1087,9/20/00,41.378056,-71.503611,EPSG:4326 WGS84,POINT(-71.503611 41.378056),Caretta caretta,Loggerhead
945_1131,7/27/11,41.151257,-71.664505,EPSG:4326 WGS84,POINT(-71.664505 41.151257),Caretta caretta,Loggerhead
945_914,9/30/00,41.300278,-72.101667,EPSG:4326 WGS84,POINT(-72.101667 41.300278),Chelonia mydas,Green Sea Turtle
945_1077,8/3/99,41.372778,-71.580278,EPSG:4326 WGS84,POINT(-71.580278 41.372778),Chelonia mydas,Green Sea Turtle
945_910,8/17/11,41.268195,-72.630744,EPSG:4326 WGS84,POINT(-72.630744 41.268195),Chelonia mydas,Green Sea Turtle
945_1093,9/26/02,41.466667,-71.203333,EPSG:4326 WGS84,POINT(-71.203333 41.466667),Chelonia mydas,Green Sea Turtle
945_1037,8/2/94,41.601389,-71.366667,EPSG:4326 WGS84,POINT(-71.366667 41.601389),Dermochelys coriacea,Leatherback
945_1126,9/11/10,41.318417,-71.824517,EPSG:4326 WGS84,POINT(-71.824517 41.318417),Dermochelys coriacea,Leatherback
945_936,8/9/95,41.475,-71.249444,EPSG:4326 WGS84,POINT(-71.249444 41.475),Dermochelys coriacea,Leatherback
945_1025,8/17/92,41.218889,-71.568611,EPSG:4326 WGS84,POINT(-71.568611 41.218889),Dermochelys coriacea,Leatherback
945_927,8/3/92,41.450833,-71.301389,EPSG:4326 WGS84,POINT(-71.301389 41.450833),Dermochelys coriacea,Leatherback
945_1004,7/28/01,41.2433,-71.9533,EPSG:4326 WGS84,POINT(-71.9533 41.2433),Dermochelys coriacea,Leatherback
945_1031,8/17/93,41.334722,-71.684167,EPSG:4326 WGS84,POINT(-71.684167 41.334722),Dermochelys coriacea,Leatherback
945_1022,8/9/92,41.455278,-71.304167,EPSG:4326 WGS84,POINT(-71.304167 41.455278),Dermochelys coriacea,Leatherback
945_965,8/6/05,41.571667,-71.454167,EPSG:4326 WGS84,POINT(-71.454167 41.571667),Dermochelys coriacea,Leatherback
945_999,9/22/91,41.1972,-71.9796,EPSG:4326 WGS84,POINT(-71.9796 41.1972),Dermochelys coriacea,Leatherback
945_920,10/6/10,41.32865,-71.93332,EPSG:4326 WGS84,POINT(-71.93332 41.32865),Dermochelys coriacea,Leatherback
945_946,7/2/98,41.475833,-71.154444,EPSG:4326 WGS84,POINT(-71.154444 41.475833),Dermochelys coriacea,Leatherback
945_1088,6/13/01,41.492222,-71.285278,EPSG:4326 WGS84,POINT(-71.285278 41.492222),Dermochelys coriacea,Leatherback
945_973,8/3/07,41.605278,-71.277222,EPSG:4326 WGS84,POINT(-71.277222 41.605278),Dermochelys coriacea,Leatherback
945_907,8/4/09,41.188,-72.78,EPSG:4326 WGS84,POINT(-72.78 41.188),Dermochelys coriacea,Leatherback
945_969,10/8/05,41.531944,-71.478333,EPSG:4326 WGS84,POINT(-71.478333 41.531944),Dermochelys coriacea,Leatherback
945_954,2/22/00,41.478889,-71.174444,EPSG:4326 WGS84,POINT(-71.174444 41.478889),Dermochelys coriacea,Leatherback
945_1069,8/13/96,41.200278,-71.551667,EPSG:4326 WGS84,POINT(-71.551667 41.200278),Dermochelys coriacea,Leatherback
945_1019,9/27/91,41.366667,-71.583611,EPSG:4326 WGS84,POINT(-71.583611 41.366667),Dermochelys coriacea,Leatherback
945_1005,8/25/01,41.132778,-71.339167,EPSG:4326 WGS84,POINT(-71.339167 41.132778),Dermochelys coriacea,Leatherback
945_986,8/10/08,41.4667,-71.302,EPSG:4326 WGS84,POINT(-71.302 41.4667),Dermochelys coriacea,Leatherback
945_957,7/11/02,41.540556,-71.204722,EPSG:4326 WGS84,POINT(-71.204722 41.540556),Dermochelys coriacea,Leatherback
945_930,8/11/93,41.467222,-71.350556,EPSG:4326 WGS84,POINT(-71.350556 41.467222),Dermochelys coriacea,Leatherback
945_903,9/25/98,41.190556,-73.053889,EPSG:4326 WGS84,POINT(-73.053889 41.190556),Dermochelys coriacea,Leatherback
945_1054,9/9/95,41.181111,-71.565,EPSG:4326 WGS84,POINT(-71.565 41.181111),Dermochelys coriacea,Leatherback
945_1068,8/4/96,41.318889,-71.823333,EPSG:4326 WGS84,POINT(-71.823333 41.318889),Dermochelys coriacea,Leatherback
945_1046,9/28/94,41.2167,-71.5667,EPSG:4326 WGS84,POINT(-71.5667 41.2167),Dermochelys coriacea,Leatherback
945_1134,8/9/11,41.369417,-71.580233,EPSG:4326 WGS84,POINT(-71.580233 41.369417),Dermochelys coriacea,Leatherback
945_1098,9/20/03,41.681944,-71.280833,EPSG:4326 WGS84,POINT(-71.280833 41.681944),Dermochelys coriacea,Leatherback
945_1038,8/4/94,41.375,-71.5216,EPSG:4326 WGS84,POINT(-71.5216 41.375),Dermochelys coriacea,Leatherback
945_1045,9/22/94,41.351944,-71.469167,EPSG:4326 WGS84,POINT(-71.469167 41.351944),Dermochelys coriacea,Leatherback
945_1053,9/8/95,41.318889,-71.716667,EPSG:4326 WGS84,POINT(-71.716667 41.318889),Dermochelys coriacea,Leatherback
945_998,9/14/91,41.266667,-71.983333,EPSG:4326 WGS84,POINT(-71.983333 41.266667),Dermochelys coriacea,Leatherback
945_1003,7/22/99,41.268056,-71.966667,EPSG:4326 WGS84,POINT(-71.966667 41.268056),Dermochelys coriacea,Leatherback
945_983,7/21/08,41.615278,-71.378333,EPSG:4326 WGS84,POINT(-71.378333 41.615278),Dermochelys coriacea,Leatherback
945_941,8/27/97,41.482222,-71.2775,EPSG:4326 WGS84,POINT(-71.2775 41.482222),Dermochelys coriacea,Leatherback
945_1000,8/19/93,41.135556,-71.585556,EPSG:4326 WGS84,POINT(-71.585556 41.135556),Dermochelys coriacea,Leatherback
945_928,9/11/92,41.450833,-71.334722,EPSG:4326 WGS84,POINT(-71.334722 41.450833),Dermochelys coriacea,Leatherback
945_929,8/2/93,41.450833,-71.301389,EPSG:4326 WGS84,POINT(-71.301389 41.450833),Dermochelys coriacea,Leatherback
945_913,8/22/93,41.334167,-71.867778,EPSG:4326 WGS84,POINT(-71.867778 41.334167),Dermochelys coriacea,Leatherback
945_1055,9/11/95,41.310833,-71.863056,EPSG:4326 WGS84,POINT(-71.863056 41.310833),Dermochelys coriacea,Leatherback
945_977,6/29/08,41.736667,-71.449444,EPSG:4326 WGS84,POINT(-71.449444 41.736667),Dermochelys coriacea,Leatherback
945_924,8/2/91,41.468333,-71.151944,EPSG:4326 WGS84,POINT(-71.151944 41.468333),Dermochelys coriacea,Leatherback
945_1092,4/19/02,41.301944,-72.117778,EPSG:4326 WGS84,POINT(-72.117778 41.301944),Dermochelys coriacea,Leatherback
945_1043,8/20/94,41.346944,-71.673889,EPSG:4326 WGS84,POINT(-71.673889 41.346944),Dermochelys coriacea,Leatherback
945_1114,8/8/08,41.4655,-71.3902,EPSG:4326 WGS84,POINT(-71.3902 41.4655),Dermochelys coriacea,Leatherback
945_1081,10/31/99,41.364444,-71.644167,EPSG:4326 WGS84,POINT(-71.644167 41.364444),Dermochelys coriacea,Leatherback
945_1014,9/13/91,41.184444,-71.585278,EPSG:4326 WGS84,POINT(-71.585278 41.184444),Dermochelys coriacea,Leatherback
945_1011,8/3/91,41.3675,-71.63,EPSG:4326 WGS84,POINT(-71.63 41.3675),Dermochelys coriacea,Leatherback
945_976,10/17/07,41.07435,-71.53811,EPSG:4326 WGS84,POINT(-71.53811 41.07435),Dermochelys coriacea,Leatherback
945_1056,9/14/95,41.351667,-71.659444,EPSG:4326 WGS84,POINT(-71.659444 41.351667),Dermochelys coriacea,Leatherback
945_987,8/16/08,41.4566,-71.319,EPSG:4326 WGS84,POINT(-71.319 41.4566),Dermochelys coriacea,Leatherback
945_1001,8/30/95,41.276111,-71.965833,EPSG:4326 WGS84,POINT(-71.965833 41.276111),Dermochelys coriacea,Leatherback
945_1023,8/14/92,41.418889,-71.450833,EPSG:4326 WGS84,POINT(-71.450833 41.418889),Dermochelys coriacea,Leatherback
945_1036,10/18/93,41.183333,-71.577778,EPSG:4326 WGS84,POINT(-71.577778 41.183333),Dermochelys coriacea,Leatherback
945_1128,9/26/10,41.26753,-71.83993,EPSG:4326 WGS84,POINT(-71.83993 41.26753),Dermochelys coriacea,Leatherback
945_1062,9/22/95,41.324444,-71.790278,EPSG:4326 WGS84,POINT(-71.790278 41.324444),Dermochelys coriacea,Leatherback
945_889,9/16/95,41.328611,-71.771389,EPSG:4326 WGS84,POINT(-71.771389 41.328611),Dermochelys coriacea,Leatherback
945_1015,9/16/91,41.334722,-71.683889,EPSG:4326 WGS84,POINT(-71.683889 41.334722),Dermochelys coriacea,Leatherback
945_1116,10/21/08,41.225,-71.5683,EPSG:4326 WGS84,POINT(-71.5683 41.225),Dermochelys coriacea,Leatherback
945_1009,10/30/90,41.185,-71.566667,EPSG:4326 WGS84,POINT(-71.566667 41.185),Dermochelys coriacea,Leatherback
945_1141,9/22/11,41.201228,-71.560435,EPSG:4326 WGS84,POINT(-71.560435 41.201228),Dermochelys coriacea,Leatherback
945_1112,7/10/08,41.372222,-71.504167,EPSG:4326 WGS84,POINT(-71.504167 41.372222),Dermochelys coriacea,Leatherback
945_1136,8/14/11,41.27133,-71.55883,EPSG:4326 WGS84,POINT(-71.55883 41.27133),Dermochelys coriacea,Leatherback
945_1058,9/16/95,41.351667,-71.659444,EPSG:4326 WGS84,POINT(-71.659444 41.351667),Dermochelys coriacea,Leatherback
945_943,9/4/97,41.45,-71.4,EPSG:4326 WGS84,POINT(-71.4 41.45),Dermochelys coriacea,Leatherback
945_1007,8/20/10,41.261716,-71.960266,EPSG:4326 WGS84,POINT(-71.960266 41.261716),Dermochelys coriacea,Leatherback
945_1063,10/5/95,41.328056,-71.761944,EPSG:4326 WGS84,POINT(-71.761944 41.328056),Dermochelys coriacea,Leatherback
945_1013,8/29/91,41.4025,-71.450556,EPSG:4326 WGS84,POINT(-71.450556 41.4025),Dermochelys coriacea,Leatherback
945_1139,8/22/11,41.205608,-71.579317,EPSG:4326 WGS84,POINT(-71.579317 41.205608),Dermochelys coriacea,Leatherback
945_887,9/7/93,41.118889,-73.234722,EPSG:4326 WGS84,POINT(-73.234722 41.118889),Dermochelys coriacea,Leatherback
945_1030,8/17/93,41.450556,-71.418889,EPSG:4326 WGS84,POINT(-71.418889 41.450556),Dermochelys coriacea,Leatherback
945_1070,8/13/96,41.3675,-71.533889,EPSG:4326 WGS84,POINT(-71.533889 41.3675),Dermochelys coriacea,Leatherback
945_1085,9/12/00,41.343333,-71.706111,EPSG:4326 WGS84,POINT(-71.706111 41.343333),Dermochelys coriacea,Leatherback
945_1052,9/7/95,41.319167,-71.819167,EPSG:4326 WGS84,POINT(-71.819167 41.319167),Dermochelys coriacea,Leatherback
945_1066,7/19/96,41.321944,-71.809167,EPSG:4326 WGS84,POINT(-71.809167 41.321944),Dermochelys coriacea,Leatherback
945_1057,9/16/95,41.196944,-71.563333,EPSG:4326 WGS84,POINT(-71.563333 41.196944),Dermochelys coriacea,Leatherback
945_950,7/28/99,41.492778,-71.258333,EPSG:4326 WGS84,POINT(-71.258333 41.492778),Dermochelys coriacea,Leatherback
945_916,8/10/03,41.279166,-72.295833,EPSG:4326 WGS84,POINT(-72.295833 41.279166),Dermochelys coriacea,Leatherback
945_934,8/31/94,41.484167,-71.266667,EPSG:4326 WGS84,POINT(-71.266667 41.484167),Dermochelys coriacea,Leatherback
945_1047,8/7/95,41.338056,-71.699722,EPSG:4326 WGS84,POINT(-71.699722 41.338056),Dermochelys coriacea,Leatherback
945_1016,9/16/91,41.318056,-71.750833,EPSG:4326 WGS84,POINT(-71.750833 41.318056),Dermochelys coriacea,Leatherback
945_1008,8/26/10,41.2653,-71.99237,EPSG:4326 WGS84,POINT(-71.99237 41.2653),Dermochelys coriacea,Leatherback
945_1048,8/7/95,41.365833,-71.594722,EPSG:4326 WGS84,POINT(-71.594722 41.365833),Dermochelys coriacea,Leatherback
945_921,8/8/11,41.29916,-72.0401,EPSG:4326 WGS84,POINT(-72.0401 41.29916),Dermochelys coriacea,Leatherback
945_1138,8/15/11,41.338339,-71.69947,EPSG:4326 WGS84,POINT(-71.69947 41.338339),Dermochelys coriacea,Leatherback
945_1018,9/19/91,41.3302,-71.4794,EPSG:4326 WGS84,POINT(-71.4794 41.3302),Dermochelys coriacea,Leatherback
945_1078,8/4/99,41.448611,-71.454167,EPSG:4326 WGS84,POINT(-71.454167 41.448611),Dermochelys coriacea,Leatherback
945_994,8/23/10,41.470957,-71.16795,EPSG:4326 WGS84,POINT(-71.16795 41.470957),Dermochelys coriacea,Leatherback
945_926,9/15/91,41.468056,-71.235556,EPSG:4326 WGS84,POINT(-71.235556 41.468056),Dermochelys coriacea,Leatherback
945_1060,9/18/95,41.339167,-71.699722,EPSG:4326 WGS84,POINT(-71.699722 41.339167),Dermochelys coriacea,Leatherback
945_937,8/11/95,41.483889,-71.248889,EPSG:4326 WGS84,POINT(-71.248889 41.483889),Dermochelys coriacea,Leatherback
945_1029,8/14/93,41.335,-71.483333,EPSG:4326 WGS84,POINT(-71.483333 41.335),Dermochelys coriacea,Leatherback
945_1020,10/7/91,41.434722,-71.101667,EPSG:4326 WGS84,POINT(-71.101667 41.434722),Dermochelys coriacea,Leatherback
945_963,8/27/04,41.501944,-71.184722,EPSG:4326 WGS84,POINT(-71.184722 41.501944),Dermochelys coriacea,Leatherback
945_1033,8/19/93,41.385556,-71.451944,EPSG:4326 WGS84,POINT(-71.451944 41.385556),Dermochelys coriacea,Leatherback
945_1065,10/13/95,41.441944,-71.4425,EPSG:4326 WGS84,POINT(-71.4425 41.441944),Dermochelys coriacea,Leatherback
945_949,7/1/99,41.492778,-71.276389,EPSG:4326 WGS84,POINT(-71.276389 41.492778),Dermochelys coriacea,Leatherback
945_959,9/23/02,41.467222,-71.384167,EPSG:4326 WGS84,POINT(-71.384167 41.467222),Dermochelys coriacea,Leatherback
945_1102,10/8/04,41.225,-71.566667,EPSG:4326 WGS84,POINT(-71.566667 41.225),Dermochelys coriacea,Leatherback
945_1042,8/18/94,41.317778,-71.824167,EPSG:4326 WGS84,POINT(-71.824167 41.317778),Dermochelys coriacea,Leatherback
945_1006,8/16/10,41.2616,-71.99143,EPSG:4326 WGS84,POINT(-71.99143 41.2616),Dermochelys coriacea,Leatherback
945_1089,6/25/01,41.302222,-71.840278,EPSG:4326 WGS84,POINT(-71.840278 41.302222),Dermochelys coriacea,Leatherback
945_939,9/8/95,41.459167,-71.3225,EPSG:4326 WGS84,POINT(-71.3225 41.459167),Dermochelys coriacea,Leatherback
945_975,9/27/07,41.471389,-71.300278,EPSG:4326 WGS84,POINT(-71.300278 41.471389),Dermochelys coriacea,Leatherback
945_1079,9/10/99,41.453611,-71.443889,EPSG:4326 WGS84,POINT(-71.443889 41.453611),Dermochelys coriacea,Leatherback
945_938,8/24/95,41.448611,-71.355278,EPSG:4326 WGS84,POINT(-71.355278 41.448611),Dermochelys coriacea,Leatherback
945_1127,9/14/10,41.37172,-71.49868,EPSG:4326 WGS84,POINT(-71.49868 41.37172),Dermochelys coriacea,Leatherback
945_1021,8/6/92,41.366944,-71.284444,EPSG:4326 WGS84,POINT(-71.284444 41.366944),Dermochelys coriacea,Leatherback
945_945,10/5/97,41.468611,-71.285833,EPSG:4326 WGS84,POINT(-71.285833 41.468611),Dermochelys coriacea,Leatherback
945_989,9/15/08,41.4498,-71.3534,EPSG:4326 WGS84,POINT(-71.3534 41.4498),Dermochelys coriacea,Leatherback
945_947,9/2/98,41.481111,-71.278333,EPSG:4326 WGS84,POINT(-71.278333 41.481111),Dermochelys coriacea,Leatherback
945_925,8/15/91,41.535278,-71.201667,EPSG:4326 WGS84,POINT(-71.201667 41.535278),Dermochelys coriacea,Leatherback
945_1074,7/6/98,41.353889,-71.6475,EPSG:4326 WGS84,POINT(-71.6475 41.353889),Dermochelys coriacea,Leatherback
945_1123,8/27/10,41.258883,-71.758833,EPSG:4326 WGS84,POINT(-71.758833 41.258883),Dermochelys coriacea,Leatherback
945_922,8/12/11,41.299863,-71.981564,EPSG:4326 WGS84,POINT(-71.981564 41.299863),Dermochelys coriacea,Leatherback
945_992,8/9/10,41.47045,-71.169,EPSG:4326 WGS84,POINT(-71.169 41.47045),Dermochelys coriacea,Leatherback
945_1026,8/18/92,41.185,-71.566667,EPSG:4326 WGS84,POINT(-71.566667 41.185),Dermochelys coriacea,Leatherback
945_1121,8/19/10,41.32728,-71.77875,EPSG:4326 WGS84,POINT(-71.77875 41.32728),Dermochelys coriacea,Leatherback
945_1109,10/8/07,41.398333,-71.731111,EPSG:4326 WGS84,POINT(-71.731111 41.398333),Dermochelys coriacea,Leatherback
945_961,8/11/03,41.461389,-71.2,EPSG:4326 WGS84,POINT(-71.2 41.461389),Dermochelys coriacea,Leatherback
945_1111,12/29/07,41.364722,-71.489722,EPSG:4326 WGS84,POINT(-71.489722 41.364722),Dermochelys coriacea,Leatherback
945_1105,11/20/06,41.433611,-71.455833,EPSG:4326 WGS84,POINT(-71.455833 41.433611),Dermochelys coriacea,Leatherback
945_985,8/8/08,41.1858,-71.5519,EPSG:4326 WGS84,POINT(-71.5519 41.1858),Dermochelys coriacea,Leatherback
945_1032,8/19/93,41.5,-71.234722,EPSG:4326 WGS84,POINT(-71.234722 41.5),Dermochelys coriacea,Leatherback
945_1061,9/18/95,41.338889,-71.686389,EPSG:4326 WGS84,POINT(-71.686389 41.338889),Dermochelys coriacea,Leatherback
945_1027,9/14/92,41.335,-71.668889,EPSG:4326 WGS84,POINT(-71.668889 41.335),Dermochelys coriacea,Leatherback
945_991,8/23/09,41.496,-71.13,EPSG:4326 WGS84,POINT(-71.13 41.496),Dermochelys coriacea,Leatherback
945_1040,8/8/94,41.188889,-71.595833,EPSG:4326 WGS84,POINT(-71.595833 41.188889),Dermochelys coriacea,Leatherback
945_974,9/22/07,41.7425,-71.472778,EPSG:4326 WGS84,POINT(-71.472778 41.7425),Dermochelys coriacea,Leatherback
945_905,8/27/01,41.1525,-73.125556,EPSG:4326 WGS84,POINT(-73.125556 41.1525),Dermochelys coriacea,Leatherback
945_932,8/19/93,41.283333,-71.919167,EPSG:4326 WGS84,POINT(-71.919167 41.283333),Dermochelys coriacea,Leatherback
945_1017,9/18/91,41.352222,-71.601389,EPSG:4326 WGS84,POINT(-71.601389 41.352222),Dermochelys coriacea,Leatherback
945_1137,8/15/11,41.326682,-71.750336,EPSG:4326 WGS84,POINT(-71.750336 41.326682),Dermochelys coriacea,Leatherback
945_904,8/18/01,41.261944,-72.561667,EPSG:4326 WGS84,POINT(-72.561667 41.261944),Dermochelys coriacea,Leatherback
945_1082,12/10/99,41.471111,-71.436389,EPSG:4326 WGS84,POINT(-71.436389 41.471111),Dermochelys coriacea,Leatherback
945_1041,8/16/94,41.383889,-71.467778,EPSG:4326 WGS84,POINT(-71.467778 41.383889),Dermochelys coriacea,Leatherback
945_1100,7/20/04,41.360278,-71.480833,EPSG:4326 WGS84,POINT(-71.480833 41.360278),Dermochelys coriacea,Leatherback
945_1039,8/6/94,41.204167,-71.558333,EPSG:4326 WGS84,POINT(-71.558333 41.204167),Dermochelys coriacea,Leatherback
945_1012,8/3/91,41.300833,-71.466667,EPSG:4326 WGS84,POINT(-71.466667 41.300833),Dermochelys coriacea,Leatherback
945_990,12/22/08,41.489,-71.263,EPSG:4326 WGS84,POINT(-71.263 41.489),Dermochelys coriacea,Leatherback
